,stim1,stim2,similarity
147,camera_3_30.jpg,camera_4_30.jpg,0.011242695
148,camera_3_30.jpg,camera_5_30.jpg,1.0
149,camera_3_30.jpg,car_1_30.jpg,0.07389178
150,camera_3_30.jpg,car_2_30.jpg,0.06308201
151,camera_3_30.jpg,car_3_30.jpg,0.08053312
152,camera_3_30.jpg,car_4_30.jpg,0.04182948
153,camera_3_30.jpg,car_5_30.jpg,0.09334875
154,camera_3_30.jpg,guitar_1_30.jpg,0.0717756
155,camera_3_30.jpg,guitar_2_30.jpg,0.055417866
156,camera_3_30.jpg,guitar_3_30.jpg,0.055134676
157,camera_3_30.jpg,guitar_4_30.jpg,0.06740645
158,camera_3_30.jpg,guitar_5_30.jpg,0.067673214
159,camera_3_30.jpg,lamp_1_30.jpg,0.08668721
160,camera_3_30.jpg,lamp_2_30.jpg,0.088802375
161,camera_3_30.jpg,lamp_3_30.jpg,0.094891615
162,camera_3_30.jpg,lamp_4_30.jpg,0.10595987
163,camera_3_30.jpg,lamp_5_30.jpg,0.092919275
164,camera_4_30.jpg,camera_5_30.jpg,0.011242695
165,camera_4_30.jpg,car_1_30.jpg,0.9979415
166,camera_4_30.jpg,car_2_30.jpg,0.99860555
167,camera_4_30.jpg,car_3_30.jpg,0.9975107
168,camera_4_30.jpg,car_4_30.jpg,0.99950427
169,camera_4_30.jpg,car_5_30.jpg,0.99651986
170,camera_4_30.jpg,guitar_1_30.jpg,0.9981239
171,camera_4_30.jpg,guitar_2_30.jpg,0.99900085
172,camera_4_30.jpg,guitar_3_30.jpg,0.9990141
173,camera_4_30.jpg,guitar_4_30.jpg,0.9983861
174,camera_4_30.jpg,guitar_5_30.jpg,0.9983699
175,camera_4_30.jpg,lamp_1_30.jpg,0.99707204
176,camera_4_30.jpg,lamp_2_30.jpg,0.9969206
177,camera_4_30.jpg,lamp_3_30.jpg,0.99641746
178,camera_4_30.jpg,lamp_4_30.jpg,0.99536884
179,camera_4_30.jpg,lamp_5_30.jpg,0.9965729
180,camera_5_30.jpg,car_1_30.jpg,0.07389178
181,camera_5_30.jpg,car_2_30.jpg,0.06308201
182,camera_5_30.jpg,car_3_30.jpg,0.08053312
183,camera_5_30.jpg,car_4_30.jpg,0.04182948
184,camera_5_30.jpg,car_5_30.jpg,0.09334875
185,camera_5_30.jpg,guitar_1_30.jpg,0.0717756
